question,answer
Mi hijo se está ahogando,"Para niños mayores de 1 año: Si el niño está respirando, anímelo a toser fuerte. Ayude al niño a inclinarse hacia adelante y golpéelo fuerte con la base de la palma entre los dos omóplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales donde termina el esternón en el centro del pecho, poniendo una mano en un puño y presionando con la otra hacia adentro y hacia arriba. Las compresiones abdominales están permitidas a partir del 2º año de edad. Si pierde el conocimiento y se desploma, aplicamos RCP para niños. Para bebés: Si el bebé no respira ni llora, coloque al bebé sobre el antebrazo de una mano sosteniendo su mandíbula abierta con nuestra mano y golpeéelo cinco veces entre los omóplatos. Si todavía hay una obstrucción, aplicamos 5 compresiones torácicas entre los pezones. Si pierde el conocimiento y se desploma, aplicamos RCP para bebés."
Mi cría se está ahogando,"Para niños mayores de 1 año: Si el niño está respirando, anímelo a toser fuerte. Ayude al niño a inclinarse hacia adelante y golpéelo fuerte con la base de la palma entre los dos omóplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales donde termina el esternón en el centro del pecho, poniendo una mano en un puño y presionando con la otra hacia adentro y hacia arriba. Las compresiones abdominales están permitidas a partir del 2º año de edad. Si pierde el conocimiento y se desploma, aplicamos RCP para niños. Para bebés: Si el bebé no respira ni llora, coloque al bebé sobre el antebrazo de una mano sosteniendo su mandíbula abierta con nuestra mano y golpeéelo cinco veces entre los omóplatos. Si todavía hay una obstrucción, aplicamos 5 compresiones torácicas entre los pezones. Si pierde el conocimiento y se desploma, aplicamos RCP para bebés."
Mi bebé se está ahogando,"Si el bebé no respira ni llora, lo colocamos sobre el antebrazo de una mano, manteniéndole la mandíbula abierta con la nuestra y le damos cinco golpecitos entre los omoplatos. Si sigue habiendo obstrucción, le aplicamos cinco compresiones torácicas entre los pezones. Si pierde el conocimiento y se desploma, le aplicamos RCP para bebés."
¿Qué hacer en caso de ahogamiento?,"Si no respira o ha perdido el conocimiento, llame a una ambulancia. Repita 5 respiraciones de rescate, 30 compresiones y 2 respiraciones de rescate hasta que llegue la ayuda."
Cómo tratar la asfixia,"Para usted: Comience a toser para expulsar el cuerpo extraño. Si la obstrucción persiste, busque una mesa o el respaldo de una silla y presione sobre él el centro de su pecho. Para adultos: Si la víctima está respirando, anímela a toser fuerte mientras mira hacia abajo. Ayúdela a inclinarse hacia adelante y golpéela con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales en el centro del pecho poniendo una mano en un puño y presionándola hacia adentro y hacia arriba con la ayuda de la otra mano y hacia arriba. Si pierde el conocimiento y se desploma, aplicamos RCP para adultos. Para niños: Si el niño está respirando, anímela a toser fuerte. Ayúdela a inclinarse hacia adelante y golpéela fuerte con la base de la palma entre los dos omoplatos cinco veces. Si todavía hay una obstrucción, aplicamos 5 compresiones abdominales donde termina el esternón en el centro del pecho poniendo una mano en un puño y presionando con la otra hacia adentro y hacia arriba. Las compresiones abdominales están permitidas a partir del 2º año de edad. Si pierde el conocimiento y se desmaya, aplicamos RCP para niños. Para lactantes: Si el lactante no respira ni llora, lo colocamos sobre el antebrazo de una mano, manteniendo abierta su mandíbula con nuestra mano y le damos cinco golpecitos entre los omoplatos. Si sigue habiendo una obstrucción, aplicamos 5 compresiones torácicas entre los pezones. Si pierde el conocimiento y se desmaya, aplicamos RCP para lactantes."
¿Qué hacer si alguien se está ahogando?,"Llame a los servicios de emergencia inmediatamente. Verifique la respiración y el pulso de la persona. Si no respira, comience la RCP de inmediato. Si la persona no respira, incline su cabeza hacia atrás y limpie las vías respiratorias de cualquier obstrucción o agua. Repita 5 respiraciones de rescate, 30 compresiones, 2 respiraciones de rescate hasta que llegue la ayuda."
¿Qué hacer si alguien se ahoga?,"Llame a los servicios de emergencia inmediatamente. Verifique la respiración y el pulso de la persona. Si no respira, comience la RCP de inmediato. Si la persona no respira, incline su cabeza hacia atrás y limpie las vías respiratorias de cualquier obstrucción o agua. Repita 5 respiraciones de rescate, 30 compresiones, 2 respiraciones de rescate hasta que llegue la ayuda."
¿Qué pasos debo seguir si veo a una persona ahogándose?,"Llame a los servicios de emergencia inmediatamente. Verifique la respiración y el pulso de la persona. Si no respira, comience la RCP de inmediato. Si la persona no respira, incline su cabeza hacia atrás y limpie las vías respiratorias de cualquier obstrucción o agua. Repita 5 respiraciones de rescate, 30 compresiones, 2 respiraciones de rescate hasta que llegue la ayuda."
¿Cómo ayudar a una persona que se está ahogando?,"Llame a los servicios de emergencia inmediatamente. Verifique la respiración y el pulso de la persona. Si no respira, comience la RCP de inmediato. Si la persona no respira, incline su cabeza hacia atrás y limpie las vías respiratorias de cualquier obstrucción o agua. Repita 5 respiraciones de rescate, 30 compresiones, 2 respiraciones de rescate hasta que llegue la ayuda."
¿Cómo ayudar a una persona que se está ahogando mediante RCP?,"En el caso de un adulto o un niño, coloque la base de una mano en el centro del pecho, en la línea de los pezones. También puede empujar con una mano sobre la otra. En el caso de un bebé, coloque dos dedos sobre el esternón. En el caso de un adulto o un niño, presione hacia abajo al menos 5 cm (2 pulgadas). Asegúrese de no presionar las costillas. En el caso de un bebé, presione hacia abajo aproximadamente 3,8 cm (1 1/2 pulgadas). Asegúrese de no presionar el extremo del esternón. Realice solo compresiones torácicas, a un ritmo de 100 a 120 por minuto o más. Deje que el pecho se eleve por completo entre compresiones. Verifique si la persona ha comenzado a respirar."
esguince,"Un esguince es una rotura parcial o completa de los ligamentos de una articulación, que no va seguida de un desplazamiento de las superficies articulares. Los síntomas incluyen dolor y sensibilidad en la zona afectada, hinchazón, hematomas y dificultad para mover la articulación. Coloque parches fríos o hielo cubierto con una toalla durante 10 a 20 minutos. Vende la articulación con una venda elástica para inmovilizarla. Cuélguese del cuello, si es un brazo, o levántela hasta una posición cómoda si es una pierna. Descanse."
¿Qué es un esguince?,"Un esguince es una rotura parcial o completa de los ligamentos de una articulación, que no va seguida del desplazamiento de las superficies articulares."
Cómo tratar un esguince,"Coloque parches fríos o hielo cubierto con una toalla durante 10 a 20 minutos. Vende la articulación con una venda elástica para inmovilizarla. Cuélgate del cuello, si es un brazo, o levántala hasta una posición cómoda si es una pierna. Descansa."
¿Cuáles son los síntomas de un esguince?,"Los síntomas incluyen dolor y sensibilidad en la articulación afectada, hinchazón, hematomas y dificultad para mover la articulación."
¿Cómo se trata un esguince?,"Coloque parches fríos o hielo cubierto con una toalla durante 10 a 20 minutos. Vende la articulación con una venda elástica para inmovilizarla. Cuélgate del cuello, si es un brazo, o levántala hasta una posición cómoda si es una pierna. Descansa."
¿Qué hacer si tengo un esguince?,"Coloque parches fríos o hielo cubierto con una toalla durante 10 a 20 minutos. Vende la articulación con una venda elástica para inmovilizarla. Cuélgate del cuello, si es un brazo, o levántala hasta una posición cómoda si es una pierna. Descansa."
¿Qué medicamento o crema aplicar si tengo un esguince?,"Las cremas o ungüentos tópicos que contienen mentol, alcanfor o capsaicina pueden ayudar a aliviar el dolor y proporcionar una sensación de frescor o calor."
dislocación,"La dislocación es una lesión de los ligamentos de una articulación con desplazamiento de las superficies articulares de los huesos. Los síntomas incluyen deformidad, dolor intenso e insoportable con el movimiento, falta de movimiento, hinchazón (opcional), hematomas (opcional). Trate el área dislocada con compresas frías durante 10 a 15 minutos. Inmovilice la articulación con una férula temporal. Coloque el miembro en una posición cómoda. No intente volver a colocar el hueso en su lugar si no es un médico especialista. Traslade al paciente de inmediato al hospital."
hueso dislocado,"La dislocación es una lesión de los ligamentos de una articulación con desplazamiento de las superficies articulares de los huesos. Los síntomas incluyen deformidad, dolor intenso e insoportable con el movimiento, falta de movimiento, hinchazón (opcional), hematomas (opcional). Trate el área dislocada con compresas frías durante 10 a 15 minutos. Inmovilice la articulación con una férula temporal. Coloque el miembro en una posición cómoda. No intente volver a colocar el hueso en su lugar si no es un médico especialista. Traslade al paciente de inmediato al hospital."
¿Qué es una dislocación?,Daño de los ligamentos de una articulación con desplazamiento de las superficies articulares de los huesos.
Cómo tratar un hueso dislocado,Almohadillas frías durante 10 a 15 minutos. Inmovilización de la articulación con una férula temporal. Colocar el miembro en una posición cómoda. No intentar volver a colocar el hueso en su lugar si no es un médico especialista. Trasladar al paciente inmediatamente al hospital.
¿Cuáles son los síntomas de un hueso dislocado?,"Los síntomas incluyen deformidad, dolor intenso y agudo con el movimiento, falta de movimiento, hinchazón (opcional) y hematomas (opcional)."
Quítame los huesos del cuerpo,"La dislocación es una lesión de los ligamentos de una articulación con desplazamiento de las superficies articulares de los huesos. Los síntomas incluyen deformidad, dolor intenso e insoportable con el movimiento, falta de movimiento, hinchazón (opcional), hematomas (opcional). Trate el área dislocada con compresas frías durante 10 a 15 minutos. Inmovilice la articulación con una férula temporal. Coloque el miembro en una posición cómoda. No intente volver a colocar el hueso en su lugar si no es un médico especialista. Traslade al paciente de inmediato al hospital."
Fractura,"Una fractura es la rotura de un hueso. \nLos síntomas incluyen dolor intenso al mover la extremidad, hinchazón, hematomas, dificultad para moverse, movimiento anormal, deformación, acortamiento del miembro. \nInmovilice el miembro en su posición actual. No lo mueva. Coloque una tablilla o una tabla o cartón duro alrededor y sujételo con cinta o átelo de modo que permanezca en una posición fija. Suspenda la mano fracturada o eleve la pierna fracturada. Traslade al hospital."
Mano fracturada o rota,Inmovilizar el miembro en su posición actual. No moverlo. Colocar una tablilla o una tabla (o cartón duro) alrededor del miembro y asegurarlo con cinta adhesiva o atarlo de manera que permanezca en una posición fija. Suspender la mano fracturada. Trasladar al hospital.
Pierna fracturada o rota,"Una fractura es la rotura de un hueso. \nLos síntomas incluyen dolor intenso al mover la extremidad, hinchazón, hematomas, dificultad para moverse, movimiento anormal, deformación, acortamiento del miembro. \nInmovilice el miembro en su posición actual. No lo mueva. Coloque una tablilla o una tabla (o cartón duro) alrededor y sujételo con cinta adhesiva o átelo para que permanezca en una posición fija. Eleve la pierna rota. Trasládelo al hospital."
¿Qué es una fractura?,Una fractura es la rotura de un hueso.
¿Cuáles son los síntomas de una fractura o un hueso roto?,"Los síntomas incluyen dolor intenso al mover la extremidad, hinchazón, hematomas, dificultad de movimiento, movimiento anormal, deformación y acortamiento del miembro."
¿Cómo se trata una fractura?,Inmovilice el miembro en su posición actual. No lo mueva. Coloque una tablilla o una tabla (o cartón duro) alrededor del miembro y sujételo con cinta adhesiva o átelo de modo que permanezca en una posición fija. Suspenda la mano fracturada o eleve la pierna fracturada. Traslade al hospital.
¿Qué hacer si tengo una fractura?,Inmovilice el miembro en su posición actual. No lo mueva. Coloque una tablilla o una tabla (o cartón duro) alrededor del miembro y sujételo con cinta adhesiva o átelo de modo que permanezca en una posición fija. Suspenda la mano fracturada o eleve la pierna fracturada. Traslade al hospital.
¿Qué medicamento tomar si tengo una fractura?,"Por lo general, los analgésicos de venta libre, como el paracetamol o el ibuprofeno, pueden ayudar a aliviar el dolor asociado con una fractura. Sin embargo, en el caso de fracturas más graves, el médico puede recetar analgésicos más fuertes."
¿Cómo curar una fractura?,Inmovilice el miembro en su posición actual. No lo mueva. Coloque una tablilla o una tabla (o cartón duro) alrededor del miembro y sujételo con cinta adhesiva o átelo de modo que permanezca en una posición fija. Suspenda la mano fracturada o eleve la pierna fracturada. Traslade al hospital.
¿Cómo se trata un dedo del pie roto?,"Intente no estar de pie y descanse el pie afectado tanto como sea posible. Aplique hielo en la zona afectada durante 15 a 20 minutos cada vez, varias veces al día. Esto puede ayudar a reducir la hinchazón y aliviar el dolor. Eleve el pie afectado por encima del nivel del corazón para ayudar a reducir la hinchazón. Use cinta médica o vendas adhesivas para unir el dedo fracturado al dedo adyacente. Evite usar zapatos apretados o incómodos y use zapatos que proporcionen suficiente espacio para que los dedos se muevan."
¿Qué hacer si me rompo un dedo del pie?,"Intente no estar de pie y descanse el pie afectado tanto como sea posible. Aplique hielo en la zona afectada durante 15 a 20 minutos cada vez, varias veces al día. Esto puede ayudar a reducir la hinchazón y aliviar el dolor. Eleve el pie afectado por encima del nivel del corazón para ayudar a reducir la hinchazón. Use cinta médica o vendas adhesivas para unir el dedo fracturado al dedo adyacente. Evite usar zapatos apretados o incómodos y use zapatos que proporcionen suficiente espacio para que los dedos se muevan."
¿Qué medicamento debo tomar si me rompo un dedo del pie?,"Por lo general, los analgésicos de venta libre, como el paracetamol o el ibuprofeno, pueden ayudar a aliviar el dolor asociado con una fractura. Sin embargo, en el caso de fracturas más graves, el médico puede recetar analgésicos más fuertes."
¿Cómo curar un dedo del pie roto?,"Intente no estar de pie y descanse el pie afectado tanto como sea posible. Aplique hielo en la zona afectada durante 15 a 20 minutos cada vez, varias veces al día. Esto puede ayudar a reducir la hinchazón y aliviar el dolor. Eleve el pie afectado por encima del nivel del corazón para ayudar a reducir la hinchazón. Use cinta médica o vendas adhesivas para unir el dedo fracturado al dedo adyacente. Evite usar zapatos apretados o incómodos y use zapatos que proporcionen suficiente espacio para que los dedos se muevan."
Lesión de la médula espinal,"Llamada de emergencia médica: Las lesiones de la médula espinal pueden poner en peligro la vida, por lo que es importante llamar a emergencias médicas de inmediato. No mueva a la persona si sospecha que tiene una lesión de la médula espinal. Manténgala quieta y estabilice su cabeza y cuello con las manos o con un collarín rígido hasta que llegue la ayuda médica. No le quite ningún casco ni equipo de protección. Mantenga abiertas las vías respiratorias de la víctima y asegúrese de que pueda respirar. Si hay sangrado, trate de controlarlo aplicando presión directa sobre la herida con un paño limpio. En caso de mal tiempo, proteja a la víctima de la hipotermia o el golpe de calor. Bríndele consuelo y tranquilidad."
lesión en el cuello o la columna,"Llamada de emergencia médica: Las lesiones de la médula espinal pueden poner en peligro la vida, por lo que es importante llamar a emergencias médicas de inmediato. No mueva a la persona si sospecha que tiene una lesión de la médula espinal. Manténgala quieta y estabilice su cabeza y cuello con las manos o con un collarín rígido hasta que llegue la ayuda médica. No le quite ningún casco ni equipo de protección. Mantenga abiertas las vías respiratorias de la víctima y asegúrese de que pueda respirar. Si hay sangrado, trate de controlarlo aplicando presión directa sobre la herida con un paño limpio. En caso de mal tiempo, proteja a la víctima de la hipotermia o el golpe de calor. Bríndele consuelo y tranquilidad."
